Bx_applied [nT],Delta By from Bx,Delta Bz from Bx [nT],By_applied [nT],Delta Bx from By [nT],Delta Bz from By [nT],Bz_applied [nT],Delta Bx from Bz [nT],Delta By from Bz [nT]
-195035.59502419995,-81.15503472222221,-193.70364583333333,-205032.06000079995,589.7809027777778,31.139756944444343,-166530.15500179998,-182.62795138888896,-10.408159722222194
-390071.1900483999,-107.92222222222223,-385.45972222222224,-410064.1200015999,1074.3286458333332,56.046354166666674,-333060.31000359997,-359.6019097222222,-21.88628472222223
-585106.7850725999,-170.28802083333335,-585.0574652777777,-615096.1800024,1677.297829861111,87.73576388888898,-499590.46500539995,-532.9071180555557,-32.37482638888886
-780142.3800967998,-233.83472222222218,-778.1776041666666,-820128.2400031998,2101.9480034722224,104.20607638888896,-666120.6200071999,-715.1739583333333,-43.486111111111114
-975177.9751209999,-288.05208333333337,-973.6449652777778,-1025160.3000039998,2715.295486111111,142.58472222222224,-832650.7750089999,-898.1309027777777,-51.07968749999998
195035.59502419995,57.72881944444447,194.4217013888889,205032.06000079995,-531.3059027777778,-24.270312500000045,166530.15500179998,266.9651041666667,31.46215277777773
390071.1900483999,132.60972222222225,395.6388888888889,410064.1200015999,-1025.3098958333335,-48.723611111111154,333060.31000359997,340.34062500000005,11.412326388888886
585106.7850725999,163.01631944444443,582.337673611111,615096.1800024,-1606.4361111111111,-83.23697916666674,499590.46500539995,523.540625,30.39600694444445
780142.3800967998,200.24409722222222,776.5121527777776,820128.2400031998,-2141.8361111111108,-110.19392361111113,666120.6200071999,696.7305555555556,44.594444444444434
975177.9751209999,283.88993055555557,973.9802083333334,1025160.3000039998,-2675.134201388889,-115.89427083333328,832650.7750089999,890.3123263888888,50.843229166666646
